train_error,train_steps,valid_steps,validation_error
2.92184597013,150,150,3.09805013419
1.76013720047,300,300,3.79225707627
1.27478941756,450,450,4.44596987338
0.979603206686,600,600,4.20213438424
0.797129930404,750,750,7.23043391338
